,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
1317,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
1318,Gastroenteritis, vomiting, dehydration, diarrhoea,
1319,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
1320,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
1321,Bronchial Asthma, cough, high_fever, breathlessness, family_history
1322,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
1323,Bronchial Asthma, fatigue, cough, breathlessness, family_history
1324,Bronchial Asthma, fatigue, cough, high_fever, family_history
1325,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
1326,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
1327,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
1328,Bronchial Asthma, cough, high_fever, breathlessness, family_history
1329,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
1330,Hypertension , headache, chest_pain, dizziness, loss_of_balance
1331,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
1332,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
1333,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
1334,Hypertension , headache, chest_pain, dizziness, lack_of_concentration
1335,Hypertension , headache, chest_pain, dizziness, loss_of_balance
1336,Hypertension , headache, chest_pain, dizziness, loss_of_balance
1337,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
1338,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
1339,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
1340,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1341,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
1342,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
1343,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
1344,Migraine, acidity, indigestion, headache, excessive_hunger
1345,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1346,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1347,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1348,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1349,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1350,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1351,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1352,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
1353,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
1354,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
1355,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
1356,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1357,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1358,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
1359,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
1360,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1361,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1362,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
1363,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
1364,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
1365,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,
1366,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1367,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
1368,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
1369,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
1370,Jaundice,itching, vomiting, fatigue, weight_loss
1371,Jaundice,itching, vomiting, fatigue, weight_loss
1372,Jaundice, vomiting, fatigue, weight_loss, high_fever
1373,Jaundice,itching, fatigue, weight_loss, high_fever
1374,Jaundice,itching, vomiting, weight_loss, high_fever
1375,Jaundice,itching, vomiting, fatigue, high_fever
1376,Jaundice,itching, vomiting, fatigue, weight_loss
1377,Jaundice,itching, vomiting, fatigue, weight_loss
1378,Jaundice,itching, vomiting, fatigue, weight_loss
1379,Jaundice,itching, vomiting, fatigue, weight_loss
1380,Malaria, chills, vomiting, high_fever, sweating
1381,Malaria, chills, vomiting, high_fever, sweating
1382,Malaria, chills, vomiting, high_fever, sweating
1383,Malaria, vomiting, high_fever, sweating, headache
1384,Malaria, chills, high_fever, sweating, headache
1385,Malaria, chills, vomiting, sweating, headache
1386,Malaria, chills, vomiting, high_fever, headache
1387,Malaria, chills, vomiting, high_fever, sweating
1388,Malaria, chills, vomiting, high_fever, sweating
1389,Malaria, chills, vomiting, high_fever, sweating
1390,Chicken pox,itching, skin_rash, fatigue, lethargy
1391,Chicken pox, skin_rash, fatigue, lethargy, high_fever
1392,Chicken pox,itching, fatigue, lethargy, high_fever
1393,Chicken pox,itching, skin_rash, lethargy, high_fever
1394,Chicken pox,itching, skin_rash, fatigue, high_fever
1395,Chicken pox,itching, skin_rash, fatigue, lethargy
1396,Chicken pox,itching, skin_rash, fatigue, lethargy
1397,Chicken pox,itching, skin_rash, fatigue, lethargy
1398,Chicken pox,itching, skin_rash, fatigue, lethargy
1399,Chicken pox,itching, skin_rash, fatigue, lethargy
1400,Dengue, skin_rash, chills, joint_pain, vomiting
1401,Dengue, skin_rash, chills, joint_pain, vomiting
1402,Dengue, skin_rash, chills, joint_pain, vomiting
1403,Dengue, skin_rash, chills, joint_pain, vomiting
1404,Dengue, chills, joint_pain, vomiting, fatigue
1405,Dengue, skin_rash, joint_pain, vomiting, fatigue
1406,Dengue, skin_rash, chills, vomiting, fatigue
1407,Dengue, skin_rash, chills, joint_pain, fatigue
1408,Dengue, skin_rash, chills, joint_pain, vomiting
1409,Dengue, skin_rash, chills, joint_pain, vomiting
1410,Typhoid, chills, vomiting, fatigue, high_fever
1411,Typhoid, chills, vomiting, fatigue, high_fever
1412,Typhoid, chills, vomiting, fatigue, high_fever
1413,Typhoid, chills, vomiting, fatigue, high_fever
1414,Typhoid, chills, vomiting, fatigue, high_fever
1415,Typhoid, chills, vomiting, fatigue, high_fever
1416,Typhoid, chills, vomiting, fatigue, high_fever
1417,Typhoid, chills, vomiting, fatigue, high_fever
1418,Typhoid, chills, vomiting, fatigue, high_fever
1419,Typhoid, chills, fatigue, high_fever, headache
1420,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1421,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1422,hepatitis A, vomiting, yellowish_skin, dark_urine, nausea
1423,hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea
1424,hepatitis A, joint_pain, vomiting, dark_urine, nausea
1425,hepatitis A, joint_pain, vomiting, yellowish_skin, nausea
1426,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1427,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1428,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1429,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1430,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1431,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1432,Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine
1433,Hepatitis B,itching, lethargy, yellowish_skin, dark_urine
1434,Hepatitis B,itching, fatigue, yellowish_skin, dark_urine
1435,Hepatitis B,itching, fatigue, lethargy, dark_urine
1436,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1437,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1438,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1439,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1440,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1441,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1442,Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
1443,Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
1444,Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
1445,Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes
1446,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1447,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1448,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1449,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1450,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1451,Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine
1452,Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine
1453,Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine
1454,Hepatitis D, joint_pain, vomiting, fatigue, dark_urine
1455,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1456,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1457,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1458,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1459,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1460,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1461,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1462,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1463,Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin
1464,Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin
1465,Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin
1466,Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin
1467,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1468,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1469,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1470,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1471,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1472,Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1473,Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1474,Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
1475,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
1476,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1477,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1478,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1479,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1480,Tuberculosis, chills, vomiting, fatigue, weight_loss
1481,Tuberculosis, chills, vomiting, fatigue, weight_loss
1482,Tuberculosis, vomiting, fatigue, weight_loss, cough
1483,Tuberculosis, chills, fatigue, weight_loss, cough
1484,Tuberculosis, chills, vomiting, weight_loss, cough
1485,Tuberculosis, chills, vomiting, fatigue, cough
1486,Tuberculosis, chills, vomiting, fatigue, weight_loss
1487,Tuberculosis, chills, vomiting, fatigue, weight_loss
1488,Tuberculosis, chills, vomiting, fatigue, weight_loss
1489,Tuberculosis, chills, vomiting, fatigue, weight_loss
1490,Common Cold, continuous_sneezing, chills, fatigue, cough
1491,Common Cold, continuous_sneezing, chills, fatigue, cough
1492,Common Cold, chills, fatigue, cough, high_fever
1493,Common Cold, continuous_sneezing, fatigue, cough, high_fever
1494,Common Cold, continuous_sneezing, chills, cough, high_fever
1495,Common Cold, continuous_sneezing, chills, fatigue, high_fever
1496,Common Cold, continuous_sneezing, chills, fatigue, cough
1497,Common Cold, continuous_sneezing, chills, fatigue, cough
1498,Common Cold, continuous_sneezing, chills, fatigue, cough
1499,Common Cold, continuous_sneezing, chills, fatigue, cough
1500,Pneumonia, chills, fatigue, cough, high_fever
1501,Pneumonia, chills, fatigue, cough, high_fever
1502,Pneumonia, chills, fatigue, cough, high_fever
1503,Pneumonia, fatigue, cough, high_fever, breathlessness
1504,Pneumonia, chills, cough, high_fever, breathlessness
1505,Pneumonia, chills, fatigue, high_fever, breathlessness
1506,Pneumonia, chills, fatigue, cough, breathlessness
1507,Pneumonia, chills, fatigue, cough, high_fever
1508,Pneumonia, chills, fatigue, cough, high_fever
1509,Pneumonia, chills, fatigue, cough, high_fever
1510,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1511,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1512,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1513,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
1514,Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
1515,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
1516,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
1517,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1518,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1519,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1520,Heart attack, vomiting, breathlessness, sweating, chest_pain
1521,Heart attack, vomiting, breathlessness, sweating, chest_pain
1522,Heart attack, breathlessness, sweating, chest_pain,
1523,Heart attack, vomiting, sweating, chest_pain,
1524,Heart attack, vomiting, breathlessness, chest_pain,
1525,Heart attack, vomiting, breathlessness, sweating,
1526,Heart attack, vomiting, breathlessness, sweating, chest_pain
1527,Heart attack, breathlessness, sweating, chest_pain,
1528,Heart attack, vomiting, sweating, chest_pain,
1529,Heart attack, vomiting, breathlessness, chest_pain,
1530,Varicose veins, fatigue, cramps, bruising, obesity
1531,Varicose veins, fatigue, cramps, bruising, obesity
1532,Varicose veins, cramps, bruising, obesity, swollen_legs
1533,Varicose veins, fatigue, bruising, obesity, swollen_legs
1534,Varicose veins, fatigue, cramps, obesity, swollen_legs
1535,Varicose veins, fatigue, cramps, bruising, swollen_legs
1536,Varicose veins, fatigue, cramps, bruising, obesity
1537,Varicose veins, fatigue, cramps, bruising, obesity
1538,Varicose veins, fatigue, cramps, bruising, obesity
1539,Varicose veins, fatigue, cramps, bruising, obesity
1540,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1541,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1542,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
1543,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
1544,Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy
1545,Hypothyroidism, fatigue, weight_gain, mood_swings, lethargy
1546,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy
1547,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1548,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1549,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1550,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1551,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1552,Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating
1553,Hyperthyroidism, fatigue, weight_loss, restlessness, sweating
1554,Hyperthyroidism, fatigue, mood_swings, restlessness, sweating
1555,Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating
1556,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1557,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1558,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1559,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1560,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1561,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1562,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1563,Hypoglycemia, fatigue, anxiety, sweating, headache
1564,Hypoglycemia, vomiting, anxiety, sweating, headache
1565,Hypoglycemia, vomiting, fatigue, sweating, headache
1566,Hypoglycemia, vomiting, fatigue, anxiety, headache
1567,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1568,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1569,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1570,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1571,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1572,Osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints
1573,Osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints
1574,Osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints
1575,Osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints
1576,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1577,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1578,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1579,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1580,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1581,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1582,Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
1583,Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
1584,Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
1585,Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking
1586,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1587,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1588,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1589,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1590,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1591,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1592,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance
1593,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance
1594,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance
1595,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
1596,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1597,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1598,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1599,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
1600,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
1601,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
1602,Acne, pus_filled_pimples, blackheads, scurring,
1603,Acne, skin_rash, blackheads, scurring,
1604,Acne, skin_rash, pus_filled_pimples, scurring,
1605,Acne, skin_rash, pus_filled_pimples, blackheads,
1606,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
1607,Acne, skin_rash, pus_filled_pimples, blackheads,
1608,Acne, skin_rash, pus_filled_pimples, scurring,
1609,Acne, skin_rash, blackheads, scurring,
1610,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1611,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1612,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
1613,Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
1614,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1615,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,
1616,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
1617,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1618,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
1619,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
1620,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1621,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1622,Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
1623,Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
1624,Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
1625,Psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
1626,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1627,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1628,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1629,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
1630,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1631,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1632,Impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
1633,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1634,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1635,Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
1636,Impetigo, skin_rash, high_fever, blister, yellow_crust_ooze
1637,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1638,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
1639,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
1640,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1641,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
1642,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
1643,Fungal infection,itching, skin_rash, dischromic _patches,
1644,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
1645,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
1646,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
1647,Fungal infection,itching, skin_rash, dischromic _patches,
1648,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
1649,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1650,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
1651,Allergy, shivering, chills, watering_from_eyes,
1652,Allergy, continuous_sneezing, chills, watering_from_eyes,
1653,Allergy, continuous_sneezing, shivering, watering_from_eyes,
1654,Allergy, continuous_sneezing, shivering, chills,
1655,Allergy, shivering, chills, watering_from_eyes,
1656,Allergy, continuous_sneezing, chills, watering_from_eyes,
1657,Allergy, continuous_sneezing, shivering, watering_from_eyes,
1658,Allergy, continuous_sneezing, shivering, chills,
1659,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
1660,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
1661,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
1662,GERD, stomach_pain, acidity, vomiting, cough
1663,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
1664,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
1665,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
1666,GERD, acidity, ulcers_on_tongue, vomiting, cough
1667,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
1668,GERD, stomach_pain, acidity, vomiting, cough
1669,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
1670,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1671,Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
1672,Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
1673,Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
1674,Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite
1675,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1676,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1677,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1678,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1679,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
1680,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
1681,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
1682,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
1683,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
1684,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
1685,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
1686,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
1687,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
1688,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
1689,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
1690,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
1691,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
1692,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
1693,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
1694,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
1695,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases
1696,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1697,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1698,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1699,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
1700,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1701,AIDS, patches_in_throat, high_fever, extra_marital_contacts,
1702,AIDS, muscle_wasting, high_fever, extra_marital_contacts,
1703,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,
1704,AIDS, muscle_wasting, patches_in_throat, high_fever,
1705,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1706,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
1707,AIDS, patches_in_throat, high_fever, extra_marital_contacts,
1708,AIDS, muscle_wasting, high_fever, extra_marital_contacts,
1709,AIDS, muscle_wasting, patches_in_throat, high_fever,
1710,Diabetes , fatigue, weight_loss, restlessness, lethargy
1711,Diabetes , fatigue, weight_loss, restlessness, lethargy
1712,Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level
1713,Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level
1714,Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level
1715,Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level
1716,Diabetes , fatigue, weight_loss, restlessness, lethargy
1717,Diabetes , fatigue, weight_loss, restlessness, lethargy
1718,Diabetes , fatigue, weight_loss, restlessness, lethargy
1719,Diabetes , fatigue, weight_loss, restlessness, lethargy
1720,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
1721,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
